date,equity
1968-05-22,1.2698291788076
1968-06-03,1.2714343259359335
1968-06-21,1.253196849004269
1968-06-18,1.2550978022619481
1968-06-24,1.258797159655159
1968-07-02,1.2460517382635936
1968-08-02,1.2325659956238715
1968-07-18,1.2432108382605591
1968-07-29,1.2215589516693615
1968-08-06,1.2234398177812469
1968-11-01,1.300911833623321
1968-08-15,1.310406637663331
1968-08-20,1.3232508443829203
1968-08-29,1.3197359955099939
1968-09-13,1.3160903103751749
1968-09-26,1.305221466920685
1968-10-01,1.3023526612214231
1968-10-17,1.3007898380279574
1968-10-28,1.3127636709875838
1968-11-06,1.2988329317966332
1968-11-22,1.2749129100636458
1968-11-08,1.2855572502420132
1968-11-26,1.2808073701066076
1968-12-09,1.2957717443882912
1969-02-21,1.320780655616134
1968-12-12,1.3393743180447581
1968-12-19,1.3504487769815121
1968-12-26,1.37529499753754
1969-01-14,1.3119767774619404
1969-01-21,1.3081273857884377
1969-01-27,1.3161292515763099
1969-02-07,1.2988778855496352
1969-02-14,1.3114376423151557
1969-02-28,1.2812032974380658
1969-05-16,1.258617639868353
1969-03-12,1.2738888672320892
1969-03-20,1.2480342812090763
1969-04-15,1.2208276692140956
1969-04-18,1.2295207717859087
1969-04-28,1.224356672259843
1969-04-30,1.2320701192950798
1969-05-06,1.2305916351519257
1969-05-23,1.1600433900539593
1969-06-20,1.1418130132529758
1969-05-29,1.132087856415137
1969-06-06,1.135350117748317
1969-06-23,1.0979720032655829
1969-07-10,1.090900400805292
1969-07-11,1.094557370730206
1969-07-18,1.0732080764779899
1969-07-25,1.0400062529174707
1969-08-04,0.9990689608503349
1969-09-19,0.9812952034447169
1969-08-15,1.0193694573383718
1969-08-27,1.0276346896844952
1969-09-10,1.0329610063775037
1969-09-29,0.9942954211227475
1969-12-19,1.1581468820063316
1969-10-02,1.1741975845694723
1969-10-21,1.184060982981959
1969-11-04,1.165206083059088
1969-11-17,1.181932778656925
1969-11-19,1.2201873455249186
1969-12-01,1.2095430278285966
1969-12-04,1.241934597130126
1969-12-18,1.215770078319594
1969-12-22,1.2169539713421382
1970-02-20,1.2126309254210257
1969-12-30,1.238805323026606
1970-01-08,1.237318756638974
1970-01-15,1.2248747825873374
1970-01-21,1.2234049328482326
1970-02-03,1.20773667777139
1970-02-11,1.2465449319961732
1970-02-19,1.247364499650647
1970-02-26,1.2593356718331346
1970-03-12,1.217298832947923
1970-03-25,1.196823938047238
1970-04-10,1.1676821715313368
1970-04-10,1.1436433083965847
1970-04-17,1.1359320349783617
1970-04-17,1.1048193275013765
1970-04-23,1.1097081702502989
1970-04-29,1.1214318299100519
1970-08-14,1.1359497528297564
1970-06-15,1.1515039024222113
1970-07-31,1.1630765525466877
1970-08-12,1.1548601739082789
1970-09-18,1.1524218058623288
1970-09-18,1.1420577983587907
